Steering angle,Throttle,forward speed,yaw rotation
3.27E-06,1,4.73E-13,179.9997559
3.27E-06,1,7.09E-13,179.9997559
3.27E-06,1,9.45E-13,179.9997559
3.27E-06,1,0.001835678,179.9997559
2.83E-06,1,0.001210707,179.9998016
2.83E-06,1,0.000778963,179.9998016
2.62E-06,1,0.000498652,179.9998169
2.62E-06,1,0.000318689,179.9998169
2.62E-06,1,0.000205632,179.9998169
2.62E-06,1,0,179.9998169
2.62E-06,1,0,179.9998169
2.62E-06,1,0,179.9998169
2.62E-06,1,0,179.9998169
2.62E-06,1,0,179.9998169
2.62E-06,1,0,179.9998169
2.62E-06,1,0,179.9998169
2.62E-06,1,0,179.9998169
2.62E-06,1,0,179.9998169
2.62E-06,1,0,179.9998169
2.62E-06,1,9.54E-05,179.9998169
2.62E-06,1,9.40E-05,179.9998169
2.62E-06,1,6.40E-05,179.9998169
2.62E-06,1,4.14E-05,179.9998169
2.62E-06,1,2.49E-05,179.9998169
2.62E-06,1,2.28E-05,179.9998169
2.62E-06,1,1.72E-05,179.9998169
2.62E-06,1,9.64E-06,179.9998169
2.62E-06,1,5.92E-06,179.9998169
3.27E-06,1,0.22855027,179.9997559
-1.40E-05,1,1.282532573,-179.9989929
-2.96E-05,1,2.042116165,-179.9979248
-4.27E-05,1,2.663115978,-179.9970093
-5.58E-05,1,3.220619202,-179.9960785
-7.02E-05,1,3.742963076,-179.9950714
-8.46E-05,1,4.242475986,-179.9940948
-9.94E-05,1,4.725371361,-179.9930115
-0.000115095,1,5.196287632,-179.9919281
-0.000132098,0.5,5.655034542,-179.9907532
-0.0001491,0.5,6.103477001,-179.9895782
-0.000166975,0.5,6.542140484,-179.9882965
-0.000185285,0.5,6.971451759,-179.98703
-0.000204032,0.5,7.391763687,-179.9857178
-0.000223214,0.5,7.80334568,-179.9843597
-0.000243705,0.5,8.20704174,-179.9829407
-0.000563267,0.5,8.180798531,-179.9825439
-0.000563267,0.5,8.163103104,-179.9825439
-0.000563267,0.5,8.146828651,-179.9825439
-0.000563267,0.5,8.131151199,-179.9825439
-0.000563267,0.5,8.115819931,-179.9825439
-0.000589425,0,8.87899971,-179.9807434
-0.000620815,0,9.276444435,-179.9785614
-0.000630406,0,9.292192459,-179.9778595
0.012851388,0,9.089346886,-179.978241
0.014366586,0,8.783963203,-179.9791565
0.016206359,0,8.477878571,-179.9802399
0.018515887,0,8.381652832,-179.9808197
0.021609278,0,8.538229942,-179.9805298
0.026094055,0,8.823802948,-179.97966
0.033258058,0,9.175706863,-179.9784241
0.016075788,0,9.398864746,-178.6901245
-0.083028741,0,9.222528458,-174.7846985
-0.713766932,0,8.76096344,-169.1122437
-0.88409555,0.5,8.148310661,-162.710144
-1,0.5,7.476556778,-156.1200867
-1,0.5,7.007110596,-149.4536285
-1,0.5,6.572269917,-142.5817566
-1,0.5,6.163329124,-135.5951691
-1,0.5,5.772596359,-128.2189484
-1,1,5.404757023,-120.5487442
-1,1,4.602473259,-112.8094864
-1,1,3.744410038,-105.649498
-1,1,3.010871172,-98.68048859
-1,1,2.486355543,-92.06616211
-1,1,2.136921406,-85.9514389
-1,1,2.162832737,-81.64540863
-1,1,2.321171284,-80.28141785
-1,1,2.649741411,-80.24292755
-1,1,3.072800636,-80.23826599
-1,1,3.532505751,-80.23448944
