Time,Steering angle,Throttle,forward speed,yaw angle,acceleration,yaw angular rotation
800.0,0.0,0.0,5.709975825496372e-10,-90.00029754638672,1.4274940119048808e-09,0
1200.0,0.0,0.0,1.141424510464617e-09,-90.00029754638672,1.4260673753182178e-09,0
1600.0,0.0,0.0,1.7112813388564518e-09,-90.00029754638672,1.4246417379322772e-09,0
2000.0,0.0,0.0,2.280568178747444e-09,-90.00029754638672,1.4232170997470586e-09,0
2400.0,0.0,0.0,-2.57523097388912e-05,-90.00029754638672,6.438646960494663e-05,0
2800.0,0.0,0.0,-0.017930621281266212,-90.00033569335938,0.04476217124075759,0
3200.0,0.0,0.0,-0.0005971485516056418,-90.00064086914062,0.04333368321821374,0
3600.0,0.0,0.0,0.0027850258629769087,-90.00053405761719,0.008455435425295258,0
4000.0,0.0,0.0,0.0025814929977059364,-90.00040435791016,0.0005088533480261462,0
4400.0,0.0,0.0,0.0018357650842517614,-90.00025939941406,0.0018643230737130164,0
4800.0,0.0,0.0,0.0012135144788771868,-90.00023651123047,0.001555626720751184,0
5200.0,0.0,0.0,0.0007791838725097477,-90.00022888183594,0.0010858271636291891,0
5600.0,0.0,0.0,0.0004988236469216645,-90.000244140625,0.0007009001549395888,0
6000.0,0.0,0.0,0.0003159565385431051,-90.00023651123047,0.0004571677456717128,0
6400.0,0.0,0.0,0.00020545761799439788,-90.00023651123047,0.00027624726007724297,0
6800.0,0.0,0.0,0.0,-90.00023651123047,0.0005136439630312795,0
7200.0,0.0,0.0,0.0,-90.00023651123047,0,0
7600.0,0.0,0.0,0.0,-90.00023651123047,0,0
8000.0,0.0,1.0,0.0,-90.00023651123047,0,0
8400.0,0.0,1.0,0.0,-90.00023651123047,0,0
8800.0,0.0,1.0,9.545937791699544e-05,-90.00023651123047,0.00023864842813504008,0
9200.0,0.0,1.0,9.403961303178221e-05,-90.00023651123047,3.5494172100344427e-06,0
9600.0,0.0,1.0,6.403410952771083e-05,-90.00023651123047,7.501375577610874e-05,0
10000.0,0.0,1.0,4.1347469959873706e-05,-90.00023651123047,5.671658823876941e-05,0
10400.0,0.0,1.0,2.4902625227696262e-05,-90.00023651123047,4.111211098141143e-05,0
10800.0,0.0,1.0,2.2834210540167987e-05,-90.00023651123047,5.171034484294468e-06,0
11200.0,0.0,1.0,1.720441650832072e-05,-90.00023651123047,1.4074481460221029e-05,0
11600.0,0.0,1.0,9.679249160399195e-06,-90.00023651123047,1.8812917925616097e-05,0
12000.0,0.0,1.0,5.7669153648021165e-06,-90.00023651123047,9.780835174738705e-06,0
12400.0,0.0,1.0,0.2285492867231369,-90.00028991699219,0.5713587995367971,0
12800.0,0.0,1.0,1.2825329303741455,-89.99909973144531,2.6349862840551803,0
13200.0,0.0,1.0,2.0421223640441895,-89.99800872802734,1.8991627904221915,0
13600.0,0.0,1.0,2.6631157398223877,-89.9970703125,1.552575445517096,0
14000.0,0.0,1.0,3.2206196784973145,-89.99614715576172,1.3937719626208551,0
14400.0,0.0,1.0,3.7429609298706055,-89.99517059326172,1.3058534622703688,0
14800.0,0.0,1.0,4.24247407913208,-89.99420928955078,1.2487927202447944,0
15200.0,0.0,1.0,4.725369930267334,-89.99310302734375,1.2072564263464511,0
15600.0,0.0,1.0,5.196287631988525,-89.99199676513672,1.1773145069166595,0
16000.0,0.0,1.0,5.655032157897949,-89.99083709716797,1.146885330065507,0
16400.0,0.0,1.0,6.103474140167236,-89.98965454101562,1.1211240662828201,0
16800.0,0.0,1.0,6.542135238647461,-89.9884033203125,1.096674400206571,0
17200.0,0.0,1.0,6.9714484214782715,-89.98712158203125,1.0733005307697858,0
17600.0,0.0,1.0,7.391761779785156,-89.98578643798828,1.050803114776561,0
18000.0,0.0,1.0,7.803345680236816,-89.98444366455078,1.028980415879145,0
18400.0,0.0,1.0,8.20704174041748,-89.98299407958984,1.009255096942104,0
18800.0,0.0,1.0,8.180797576904297,-89.98260498046875,0.09989161193506198,0
19200.0,0.0,1.0,8.163101196289062,-89.98260498046875,0.08908396896009856,0
19600.0,0.0,1.0,8.14682674407959,-89.98261260986328,0.06863354188522726,0
20000.0,0.0,1.0,8.131150245666504,-89.98260498046875,0.05400074481040512,0
20400.0,0.0,1.0,8.115819931030273,-89.98259735107422,0.04556857336580926,0
