Time,Steering angle,Throttle,forward speed,yaw rotation,acceleration
36156,-0.001480539,0,21.75256729,-179.8963623,0.881744398
36504,-0.00151716,0,22.03467178,-179.8937836,0.81206684
36838,-0.001553345,0,22.3098011,-179.8912659,0.823206034
37188,-0.001588222,0,22.53205299,-179.8888092,0.635101854
37520,-0.001610456,0,22.50685692,-179.8872833,0.170503726
37865,-0.022370256,0,22.22632027,-178.4340973,1.856063459
38206,0.030684335,0,21.69324112,-174.2688446,4.953502432
38549,-0.034557451,0,20.95700645,-168.7632599,6.346327884
38896,-0.12266998,0,20.08297348,-163.0940552,6.367694493
39251,0.609517455,0,19.2178154,-157.7828217,5.681422161
39585,0.675684452,0,18.33167458,-153.0683441,5.333845359
39962,0.776861906,0,17.53228951,-149.3665771,3.735087031
40333,0.910584807,0,16.86305046,-146.6809845,2.827432043
40697,1,0,16.31835747,-144.7697906,2.133768822
41024,1,0,15.8463707,-143.897522,1.624717179
41400,1,0,15.40993595,-143.4116974,1.214658524
41722,1,0,14.91030121,-142.3951263,2.574357853
42062,1,0,14.22569752,-141.0886993,2.436193265
42385,1,0,-0.504198611,-148.407196,45.59013017
42725,1,0,-0.793276727,-150.8810272,0.854706923
43050,1,0,-0.600821853,-153.1016846,0.598189457
43361,1,0,-0.42810595,-154.1658783,0.557031288
43687,1,0,-0.352805048,-155.2144623,0.232277211
44001,1,0,-0.306986749,-156.192276,0.146891793
44318,1,0,-0.262994438,-157.055954,0.139579424
44624,1,0,-0.224111706,-157.802124,0.127429938
44966,1,0,-0.190851092,-158.4425201,0.097407851
45297,1,0,-0.20536828,-158.8248138,0.044062133
45593,1,0,-0.183850974,-158.9211273,0.072812901
45933,1,0,-0.15604189,-158.920929,0.0817117
46261,1,0,-0.132421941,-158.9340668,0.072018491
46598,1,0,-0.112335794,-158.9344025,0.059617273
46912,1,0,-0.018254761,-158.9351044,0.299732349
47236,1,0,-1.52E-05,-158.9354401,0.05630322
47548,1,0,0.001440163,-158.9354401,0.004658666
