Time,Steering angle,Throttle,forward speed,yaw angle,acceleration,yaw angular rotation
1730.0,0.0,0.0,1.500977185424357e-12,179.9996337890625,0,0
1994.0,0.0,0.0,-0.00022074881417211145,179.9996337890625,0.0008354539177643643,0
2274.0,0.0,0.0,-0.020440084859728813,179.99954223632812,0.0720920973598696,0
3978.0,0.0,0.0,0.0005581299774348736,179.99972534179688,0.0011474438088530025,0
4261.0,0.0,0.0,0.0003533973067533225,179.9997100830078,0.0007235903250581208,0
4535.0,0.0,0.0,0.00022384733892977238,179.9997100830078,0.00047320235447758714,0
4800.0,0.0,0.0,0.0,179.9997100830078,0.0008441224701035084,0
5065.0,0.0,0.0,0.0,179.9997100830078,0,0
5315.0,0.0,0.0,0.0,179.9997100830078,0,0
5605.0,0.0,0.0,0.0,179.9997100830078,0,0
5861.0,0.0,0.0,0.0,179.9997100830078,0,0
6161.0,0.0,0.0,0.0,179.9997100830078,0,0
6457.0,0.0,0.0,0.0,179.9997100830078,0,0
6701.0,0.0,0.0,0.0,179.9997100830078,0,0
6953.0,0.0,0.0,0.0,179.9997100830078,0,0
7208.0,0.0,0.0,0.0,179.9997100830078,0,0
7500.0,0.0,0.0,0.0,179.9997100830078,0,0
7751.0,0.0,1.0,0.0,179.9997100830078,0,0
8045.0,0.0,1.0,0.0,179.9997100830078,0,0
8285.0,0.0,1.0,0.00011811888543888927,179.9997100830078,0.0004919070223375666,0
8555.0,0.0,1.0,0.00010842885239981115,179.9997100830078,3.58306281435434e-05,0
8830.0,0.0,1.0,7.992157770786434e-05,179.9997100830078,0.0001035325452000619,0
9102.0,0.0,1.0,5.3439653129316866e-05,179.9997100830078,9.737594798685313e-05,0
9378.0,0.0,1.0,2.906911504396703e-05,179.9997100830078,8.842752302835931e-05,0
9646.0,0.0,1.0,2.7391022740630433e-05,179.9997100830078,6.265673034808874e-06,0
9909.0,0.0,1.0,2.003604095079936e-05,179.9997100830078,2.791650198259417e-05,0
10181.0,0.0,1.0,1.4291020306700375e-05,179.9997100830078,2.110095770479988e-05,0
10455.0,0.0,1.0,5.2210584726708476e-06,179.9997100830078,3.314212559625734e-05,0
10711.0,0.0,1.0,0.001246949308551848,179.99960327148438,0.004846241834674455,0
10967.0,0.0,1.0,1.144675374031067,-179.99937438964844,4.473877621123393,-1406.246006488799
11227.0,0.0,1.0,1.9589440822601318,-179.99813842773438,3.134921322421559,0
11494.0,0.0,1.0,2.611511468887329,-179.9971466064453,2.4469355572478246,0
11763.0,0.0,1.0,3.1861019134521484,-179.99618530273438,2.1348148226250587,0
12037.0,0.0,1.0,3.7179720401763916,-179.9951934814453,1.9375943214396707,0
12309.0,0.0,1.0,4.223028659820557,-179.99415588378906,1.8585212316371473,0
12591.0,0.0,1.0,4.709268569946289,-179.99310302734375,1.725552425312227,0
12842.0,0.0,1.0,5.182310104370117,-179.99200439453125,1.8875401449803275,0
13103.0,0.0,1.0,5.6426615715026855,-179.99082946777344,1.7636073182845164,0
13374.0,0.0,1.0,6.0919694900512695,-179.9896240234375,1.6578799729385922,0
13643.0,0.0,1.0,6.531242370605469,-179.9884033203125,1.6317529797003327,0
13903.0,0.0,1.0,6.961024761199951,-179.9871063232422,1.6550785165905209,0
14190.0,-1.0,0.0,7.381710052490234,-179.98580932617188,1.4645651275403073,0
