Time,Steering angle,Throttle,forward speed,yaw rotation,acceleration
1577.0,0.0,0.0,7.091505117504115e-13,179.999755859375,0
1977.0,0.0,0.0,9.45061411940229e-13,179.999755859375,0
2200.0,0.0,0.0,-2.640200727910269e-05,179.999755859375,0.00011832694144977588
3352.0,0.0,0.0,0.0027852014172822237,179.99949645996094,0.008455796777346957
3752.0,0.0,0.0,0.0025814655236899853,179.9996337890625,0.0005093554776701962
4152.0,0.0,0.0,0.0018356775399297476,179.999755859375,0.0018644726670472137
4552.0,0.0,0.0,0.0012107064248993993,179.9998016357422,0.0015624278172885865
4952.0,0.0,0.0,0.0007789621595293283,179.9998016357422,0.0010793621535009662
5352.0,0.0,0.0,0.000498651759698987,179.99981689453125,0.000700775299382887
5752.0,0.0,0.0,0.0003186879330314696,179.99981689453125,0.00044990962900691043
6152.0,0.0,0.0,0.0002056315279332921,179.99981689453125,0.00028264099338226584
6552.0,0.0,0.0,0.0,179.99981689453125,0.0005140788324684916
6952.0,0.0,0.0,0.0,179.99981689453125,0
7352.0,0.0,0.0,0.0,179.99981689453125,0
7752.0,0.0,0.0,0.0,179.99981689453125,0
8152.0,0.0,0.0,0.0,179.99981689453125,0
8552.0,0.0,0.0,0.0,179.99981689453125,0
8952.0,0.0,0.0,0.0,179.99981689453125,0
9352.0,0.0,0.0,0.0,179.99981689453125,0
9752.0,0.0,0.0,0.0,179.99981689453125,0
10152.0,0.0,0.0,0.0,179.99981689453125,0
10552.0,0.0,0.0,0.0,179.99981689453125,0
10952.0,0.0,0.0,0.0,179.99981689453125,0
11352.0,0.0,0.0,0.0,179.99981689453125,0
11752.0,0.0,0.0,0.0,179.99981689453125,0
12152.0,0.0,0.0,0.0,179.99981689453125,0
12552.0,0.0,0.0,0.0,179.99981689453125,0
12952.0,0.0,0.0,0.0,179.99981689453125,0
13352.0,0.0,0.0,0.0,179.99981689453125,0
13752.0,0.0,0.0,0.0,179.99981689453125,0
14152.0,0.0,0.0,0.0,179.99981689453125,0
14552.0,0.0,0.0,0.0,179.99981689453125,0
14952.0,0.0,0.0,0.0,179.99981689453125,0
15352.0,0.0,0.0,0.0,179.99981689453125,0
15752.0,0.0,0.25,0.0,179.99981689453125,0
16152.0,0.0,0.25,0.0,179.99981689453125,0
16552.0,0.0,0.25,9.541394683765247e-05,179.99981689453125,0.00023853487953885312
16952.0,0.0,0.25,9.40413010539487e-05,179.99981689453125,3.4316283183668812e-06
17352.0,0.0,0.25,6.403637235052884e-05,179.99981689453125,7.501232968813638e-05
17752.0,0.0,0.25,4.135291601414792e-05,179.99981689453125,5.670863925486183e-05
18152.0,0.0,0.25,2.4856197342160158e-05,179.99981689453125,4.124179401189312e-05
18552.0,0.0,0.25,2.274996404594276e-05,179.99981689453125,5.265587372043651e-06
18952.0,0.0,0.25,1.7162457879749127e-05,179.99981689453125,1.3968761795955533e-05
19352.0,0.0,0.25,9.638872143113986e-06,179.99981689453125,1.8808967080544233e-05
19752.0,0.0,0.25,5.9169988162466325e-06,179.99981689453125,9.304681956332556e-06
20152.0,0.0,0.25,8.293878636322916e-06,179.99981689453125,5.942198641565981e-06
20552.0,0.0,0.25,4.961792001267895e-06,179.99981689453125,8.330215680488826e-06
20952.0,0.0,0.25,4.230016656947555e-06,179.99981689453125,1.8294383614174862e-06
21352.0,0.0,0.25,1.1107479167549172e-06,179.99981689453125,7.798172193059411e-06
21752.0,0.0,0.25,3.095618012594059e-06,179.99981689453125,4.962174899406956e-06
22152.0,0.0,0.25,-8.702367608748318e-07,179.99981689453125,9.914637304906856e-06
22552.0,0.0,0.25,0.41587385535240173,-179.9945831298828,1.0396867067832296
22952.0,0.0,0.25,0.4899872839450836,-179.97706604003906,0.18528886095239958
23352.0,0.0,0.25,0.5541951060295105,-179.98057556152344,0.16052103508434953
23752.0,0.0,0.25,0.564256489276886,-179.9749755859375,0.02517547931138394
24152.0,0.0,0.25,0.619701623916626,-179.96304321289062,0.13861570299411163
24552.0,0.0,0.25,0.6465408205986023,-179.9615478515625,0.06709951181330663
24952.0,0.0,0.25,0.6852196455001831,-179.9698944091797,0.09670035684006385
25352.0,0.0,0.25,0.6866733431816101,-179.97959899902344,0.003709555090406617
25752.0,0.0,0.25,0.7221522331237793,-179.99183654785156,0.08869867471425902
26152.0,0.0,0.25,0.7277182340621948,179.99916076660156,0.01392234042905053
26552.0,0.0,0.25,0.7605426907539368,179.98782348632812,0.08206188739410637
26952.0,0.0,0.25,0.7650200724601746,179.97862243652344,0.011199836234438753
27352.0,0.0,0.25,0.7941948771476746,179.9671630859375,0.0729388206062927
27752.0,0.0,0.25,0.8082455396652222,179.95127868652344,0.03513042131956183
28152.0,0.0,0.25,0.8219795227050781,179.93588256835938,0.03433988924469849
28552.0,0.0,0.25,0.8500818610191345,179.92381286621094,0.07025687769997883
28952.0,0.0,0.25,0.8476239442825317,179.92739868164062,0.00614827876214176
29352.0,0.0,0.25,0.817845344543457,179.9272918701172,0.07445287965026
29752.0,0.0,0.25,0.8018991947174072,179.92726135253906,0.039869934286258006
30152.0,0.0,0.25,0.7944425940513611,179.92724609375,0.018641850025335176
30552.0,0.0,0.25,0.7918053865432739,179.92735290527344,0.0065938222928781515
30952.0,0.0,0.25,0.7916050553321838,179.92739868164062,0.0005182144213342176
31352.0,0.0,0.25,0.7928138375282288,179.92752075195312,0.003025194229054058
31752.0,0.0,0.25,0.794567346572876,179.92764282226562,0.004385223725847635
32152.0,0.0,0.25,0.7964935302734375,179.92776489257812,0.004815901767334633
32552.0,0.0,0.25,0.7984251976013184,179.92787170410156,0.004830937305621191
32952.0,0.0,0.25,0.8004271984100342,179.92796325683594,0.005003720992162664
33352.0,0.0,0.25,0.8023504614830017,179.9281005859375,0.004809075225942373
33752.0,0.0,0.25,0.8041743040084839,179.92819213867188,0.0045597342749448405
34152.0,0.0,0.25,0.8059484958648682,179.92832946777344,0.00443440403300963
34552.0,0.0,0.25,0.8075112700462341,179.92843627929688,0.0039085397814504815
34952.0,0.0,0.25,0.8090165257453918,179.92855834960938,0.0037626268838563052
35352.0,0.0,0.25,0.8104454874992371,179.92864990234375,0.0035713207070320165
35752.0,0.0,0.25,0.8118261694908142,179.92869567871094,0.0034517311694583627
36152.0,0.0,0.25,0.8130833506584167,179.9288330078125,0.0031438862641462017
36552.0,0.0,0.25,0.8142724633216858,179.928955078125,0.002972415796253399
36952.0,0.0,0.25,0.8153793811798096,179.92901611328125,0.0027673771197610584
37352.0,0.0,0.25,0.8164626955986023,179.92913818359375,0.00270767579270154
37752.0,0.0,0.25,0.8174626231193542,179.9292755126953,0.002500730345296811
38152.0,0.0,0.25,0.8184278011322021,179.9293670654297,0.0024126086330327457
38552.0,0.0,0.25,0.8192607760429382,179.92947387695312,0.0020828313496851557
38952.0,0.0,0.25,0.8201286196708679,179.9295196533203,0.0021692303092900253
39352.0,0.0,0.25,0.8208987712860107,179.92962646484375,0.0019258554949494811
39752.0,0.0,0.25,0.8216449618339539,179.9297332763672,0.0018650088647606325
40152.0,0.0,0.25,0.8223567008972168,179.92984008789062,0.001779750419977583
40552.0,0.0,0.25,0.8230115175247192,179.92994689941406,0.001637082572243328
40952.0,0.0,0.25,0.8236521482467651,179.93003845214844,0.0016012215622727439
41352.0,0.0,0.25,0.8242579698562622,179.93011474609375,0.0015144376265687786
41752.0,0.0,0.25,0.8247828483581543,179.93019104003906,0.0013122604064430426
42152.0,0.0,0.25,0.8253172039985657,179.9302978515625,0.0013359114581812147
42552.0,0.0,0.25,0.8258228302001953,179.930419921875,0.0012643863309732349
42952.0,0.0,0.25,0.8262477517127991,179.93051147460938,0.0010623980673492993
43352.0,0.0,0.25,0.8267983198165894,179.93064880371094,0.0013763465936911126
43752.0,0.0,0.25,0.8271689414978027,179.93072509765625,0.0009265954434611425
44152.0,0.0,0.25,0.8275504112243652,179.93080139160156,0.0009536817082490512
44552.0,0.0,0.25,0.8279287815093994,179.930908203125,0.0009454768732764083
44952.0,0.0,0.25,0.8283022046089172,179.93096923828125,0.0009336492044701681
45352.0,0.0,0.25,0.8286082744598389,179.9310302734375,0.0007661844787429889
45752.0,0.0,0.25,0.8289278149604797,179.93116760253906,0.0007982382835656442
46152.0,0.0,0.25,0.8291825652122498,179.93124389648438,0.000636869732157824
46552.0,0.0,0.25,0.8294762372970581,179.93128967285156,0.0007341403392261888
46952.0,0.0,0.25,0.8297261595726013,179.93142700195312,0.0006248599889419203
47352.0,0.0,0.25,0.8300252556800842,179.9314727783203,0.0007473003848956751
47752.0,0.0,0.25,0.8302619457244873,179.9315948486328,0.0005922408537956284
48152.0,0.0,0.25,0.830399751663208,179.9316864013672,0.00034410984049125265
48552.0,0.0,0.25,0.8306010961532593,179.93177795410156,0.0005043114164398366
