Time,Steering angle,Throttle,forward speed,yaw angle,acceleration,yaw angular rotation
1730.0,0.0,0.0,-0.21142834154941814,179.88607288272948,0.0,-0.06098462808477746
1994.0,0.0,0.0,0.5473325868003581,180.0539587285308,0.0008354539177643643,-0.19031095599115685
2274.0,0.0,0.0,-0.3245285172611674,179.87716475478445,0.0720920973598696,0.007068339978033776
3978.0,0.0,0.0,-1.0400345680516143,180.01653456747286,0.0011474438088530025,0.0707958046233022
4261.0,0.0,0.0,-0.6875668350556751,179.88190136954793,0.0007235903250581208,0.12291414879108493
4535.0,0.0,0.0,0.21957055797511407,180.0268293478604,0.00047320235447758714,-0.048411282562508866
4800.0,0.0,0.0,0.06349502842524589,179.8242764990218,0.0008441224701035084,-0.051089131888522266
5065.0,0.0,0.0,-0.12816802680308137,179.98809612729667,0.0,0.021659987962849816
5315.0,0.0,0.0,1.3880058348956557,180.0262251344623,0.0,0.028214713563634176
5605.0,0.0,0.0,-0.6951876502882953,180.0228911921025,0.0,-0.011948548743109652
5861.0,0.0,0.0,0.4644102624226951,179.98980195480954,0.0,0.013706265520344813
6161.0,0.0,0.0,-0.27809512784828516,179.86457253090472,0.0,0.06757329751483755
6457.0,0.0,0.0,-0.8661356082194012,179.96305486108832,0.0,-0.15668578777645292
6701.0,0.0,0.0,-0.36121120484715336,180.13353522925325,0.0,-0.06768781864184593
6953.0,0.0,0.0,0.4127102143500348,180.1064331504466,0.0,0.04519707691632873
7208.0,0.0,0.0,-0.5714423747456385,180.14384190564917,0.0,0.04457730006549733
7500.0,0.0,0.0,0.03792317165602865,180.19609303151887,0.0,0.14541898193321565
7751.0,0.0,1.0,0.8393744389340525,179.9621717795825,0.0,0.041171206783870755
8045.0,0.0,1.0,-0.6426300596894748,179.95201924612306,0.0,0.0534282481267617
8285.0,0.0,1.0,0.339236293635449,179.9935465134849,0.0004919070223375666,0.03074881031687294
8555.0,0.0,1.0,-0.03565654884076395,179.9589919644161,3.58306281435434e-05,-0.004686769179822911
8830.0,0.0,1.0,0.32223100282515643,179.9905767578647,0.0001035325452000619,-0.10572638924834993
9102.0,0.0,1.0,0.07290001605456281,180.0384104722357,9.737594798685313e-05,0.14706272235043874
9378.0,0.0,1.0,0.20615313870625232,180.12305202537408,8.842752302835931e-05,0.01850723566645054
9646.0,0.0,1.0,-0.0765227173428566,179.94489904298217,6.265673034808874e-06,-0.12448796274945978
9909.0,0.0,1.0,-0.5377607306258934,180.00969600362788,2.791650198259417e-05,0.1943356756434218
10181.0,0.0,1.0,-0.23361910271819197,180.20690710494333,2.110095770479988e-05,-0.025283242125856323
10455.0,0.0,1.0,0.17974267871219624,179.93750666791857,3.314212559625734e-05,0.0001961075680594935
10711.0,0.0,1.0,0.15236178550171722,179.9720157313525,0.004846241834674455,0.014719581352961753
10967.0,0.0,1.0,0.8463937244348432,-180.200585965111,4.473877621123393,-1406.3256771059748
11227.0,0.0,1.0,2.258015517438051,-179.9231880029124,3.134921322421559,-0.12059728464515301
11494.0,0.0,1.0,3.5620220710339243,-179.9170759291569,2.4469355572478246,-0.29903130739601713
11763.0,0.0,1.0,2.8687161367655434,-180.00215062929684,2.1348148226250587,-0.05425319562271518
12037.0,0.0,1.0,3.691331276590474,-179.93535339381205,1.9375943214396707,0.009514015005450002
12309.0,0.0,1.0,4.080605832429925,-180.04472099055425,1.8585212316371473,-0.024522779014108573
12591.0,0.0,1.0,4.8775907755760315,-180.11174209076924,1.725552425312227,-0.05196125804619237
12842.0,0.0,1.0,4.8734328030467085,-179.97932135574527,1.8875401449803275,0.21494013737256387
13103.0,0.0,1.0,6.172267419360811,-179.96940947984834,1.7636073182845164,-0.09207727764516713
13374.0,0.0,1.0,5.127552743926454,-179.90655205901976,1.6578799729385922,0.058805610531872325
13643.0,0.0,1.0,6.076340982182572,-179.97318563905145,1.6317529797003327,-0.08519028936790829
13903.0,0.0,1.0,5.7834557456359175,-180.08809792265978,1.6550785165905209,0.23284775264400936
14190.0,-1.0,0.0,7.229222247902699,-179.86454370060372,1.4645651275403073,0.009675122014973059
14440.0,-1.0,0.0,7.34488231821365,-179.9887523699317,1.6462808912401843,-0.13204162673841974
14709.0,-1.0,0.0,8.323670888298627,178.67006124591433,1.101132049796904,1333.755936619572
14968.0,-1.0,0.0,7.46921203333847,174.8868864188572,2.2129633128046473,-14.801472189985496
15225.0,-1.0,0.0,6.629066899517208,169.2112001180503,3.287846415093242,-22.20673122238638
15504.0,-1.0,0.0,6.818906750030615,162.4402785178978,3.4689301713271794,-24.091451777977284
15786.0,0.0,0.0,6.849237655272534,155.10522953114824,3.4694185143810743,-26.1062017369649
16064.0,0.0,0.0,5.787568866860042,147.4561297640271,3.4399519322423826,-27.86469644564643
16336.0,0.0,1.0,6.915943226919522,139.5014099047121,3.6367192097700145,-28.811933726377916
16647.0,0.0,1.0,7.313608418855939,134.62805633790586,2.4055423658820825,-15.786467405306524
17047.0,0.0,1.0,7.187392039763665,133.6099744744742,0.40903215538501064,-2.5631821330247364
17342.0,1.0,0.0,7.311110090035344,133.35257523145845,0.4652349939433171,-0.2926358052144035
17654.0,1.0,0.0,8.025200370402558,133.507498022175,0.9143402006122304,0.07531080329176262
17961.0,1.0,0.0,8.965417103824505,134.76335152325402,0.8425767849731367,4.1267703360506545
